Accounting_Period,Transaction_Date,Financial_Year,Account_Code,Account_Description,Base_Amount,Journal_Number,Transaction_Reference,Department,AOP_Mapping
2024-01,2024-01-09,2024,500400,Marketing Expense,14515.74,JN202400023,TXREF-395625,Sales,Growth
2024-03,2024-03-20,2024,500400,Marketing Expense,36261.65,JN202400024,TXREF-693851,Underwriting,Compliance
2025-03,2025-03-15,2025,500600,Claims Processing Cost,17591.53,JN202500025,TXREF-917857,Sales,Core Operations
2025-07,2025-07-16,2025,500400,Marketing Expense,4943.89,JN202500026,TXREF-765100,HR,Core Operations
2025-01,2025-01-15,2025,500200,IT Services,14352.95,JN202500027,TXREF-270187,Finance,Growth
2024-06,2024-06-01,2024,500500,Professional Fees,500.0,JN202400028,TXREF-694315,Finance,Core Operations
2024-09,2024-09-03,2024,500100,Staff Cost,27444.57,JN202400029,TXREF-318054,Operations,Core Operations
2025-03,2025-03-20,2025,500600,Claims Processing Cost,14251.73,JN202500030,TXREF-481853,Operations,Compliance
2025-02,2025-02-15,2025,500100,Staff Cost,11317.02,JN202500031,TXREF-603730,Sales,Technology Enablement
2025-05,2025-05-24,2025,500100,Staff Cost,27652.23,JN202500032,TXREF-459279,IT,Core Operations
2025-08,2025-08-17,2025,500700,Training & Development,3140.32,JN202500033,TXREF-124217,Claims,Growth
2024-09,2024-09-25,2024,500300,Office & Admin,22818.86,JN202400034,TXREF-653762,IT,Core Operations
2025-11,2025-11-17,2025,500700,Training & Development,500.0,JN202500035,TXREF-484512,Finance,Compliance
2024-06,2024-06-21,2024,500700,Training & Development,12040.57,JN202400036,TXREF-333876,IT,Compliance
2024-04,2024-04-07,2024,500700,Training & Development,7162.02,JN202400037,TXREF-642783,HR,Growth
2025-06,2025-06-26,2025,500600,Claims Processing Cost,31157.78,JN202500038,TXREF-392991,Finance,Core Operations
2025-05,2025-05-15,2025,500200,IT Services,33895.45,JN202500039,TXREF-947842,Claims,Compliance
2025-06,2025-06-08,2025,500100,Staff Cost,15035.28,JN202500040,TXREF-592914,IT,Core Operations
2024-06,2024-06-16,2024,500200,IT Services,25566.6,JN202400041,TXREF-784697,HR,Core Operations
2025-11,2025-11-13,2025,500100,Staff Cost,16380.12,JN202500042,TXREF-920304,Sales,Core Operations
2024-08,2024-08-03,2024,500200,IT Services,23112.56,JN202400043,TXREF-939724,HR,Compliance
2025-08,2025-08-24,2025,500400,Marketing Expense,11224.47,JN202500044,TXREF-266572,Claims,Core Operations
2024-03,2024-03-26,2024,500100,Staff Cost,2624.95,JN202400045,TXREF-787717,IT,Technology Enablement
2024-10,2024-10-22,2024,500700,Training & Development,1772.11,JN202400046,TXREF-467428,Underwriting,Technology Enablement
2024-09,2024-09-01,2024,500500,Professional Fees,21448.1,JN202400047,TXREF-938186,IT,Core Operations
2024-09,2024-09-28,2024,500600,Claims Processing Cost,38228.36,JN202400048,TXREF-304268,IT,Technology Enablement
2024-01,2024-01-17,2024,500300,Office & Admin,20424.7,JN202400049,TXREF-352223,IT,Compliance
2025-05,2025-05-02,2025,500500,Professional Fees,13278.56,JN202500050,TXREF-875864,HR,Growth
2025-08,2025-08-27,2025,500600,Claims Processing Cost,35208.17,JN202500051,TXREF-626017,Underwriting,Technology Enablement
2024-09,2024-09-28,2024,500200,IT Services,20135.72,JN202400052,TXREF-561504,Underwriting,Core Operations
2024-10,2024-10-06,2024,500100,Staff Cost,18912.91,JN202400053,TXREF-248435,Sales,Growth
2025-10,2025-10-11,2025,500600,Claims Processing Cost,20273.2,JN202500054,TXREF-815476,Finance,Core Operations
2025-02,2025-02-07,2025,500500,Professional Fees,16808.61,JN202500055,TXREF-390368,Finance,Growth
2024-02,2024-02-25,2024,500500,Professional Fees,15214.71,JN202400056,TXREF-166447,HR,Core Operations
2025-06,2025-06-23,2025,500500,Professional Fees,5085.33,JN202500057,TXREF-390650,Underwriting,Growth
2025-09,2025-09-17,2025,500500,Professional Fees,22514.62,JN202500058,TXREF-359685,Sales,Technology Enablement
2025-09,2025-09-05,2025,500200,IT Services,17147.02,JN202500059,TXREF-536875,Sales,Technology Enablement
2024-07,2024-07-22,2024,500400,Marketing Expense,28737.77,JN202400060,TXREF-352328,Operations,Core Operations
2025-02,2025-02-26,2025,500200,IT Services,14680.63,JN202500061,TXREF-228293,Claims,Compliance
2024-12,2024-12-05,2024,500600,Claims Processing Cost,842.67,JN202400062,TXREF-365402,Claims,Compliance
2024-08,2024-08-13,2024,500200,IT Services,17103.5,JN202400063,TXREF-610929,Claims,Core Operations
2024-11,2024-11-23,2024,500700,Training & Development,33295.84,JN202400064,TXREF-552483,IT,Growth
2025-06,2025-06-11,2025,500400,Marketing Expense,14549.19,JN202500065,TXREF-196672,IT,Compliance
2025-01,2025-01-15,2025,500300,Office & Admin,9991.29,JN202500066,TXREF-837307,Underwriting,Technology Enablement
2024-07,2024-07-17,2024,500300,Office & Admin,7257.67,JN202400067,TXREF-167413,Underwriting,Compliance
2024-04,2024-04-09,2024,500100,Staff Cost,8549.85,JN202400068,TXREF-141511,Finance,Compliance
2024-05,2024-05-28,2024,500700,Training & Development,15298.26,JN202400069,TXREF-808809,IT,Technology Enablement
2025-07,2025-07-23,2025,500200,IT Services,7380.16,JN202500070,TXREF-442935,Underwriting,Technology Enablement
2024-05,2024-05-14,2024,500100,Staff Cost,31478.75,JN202400071,TXREF-175931,Sales,Growth
2025-01,2025-01-03,2025,500600,Claims Processing Cost,15456.28,JN202500072,TXREF-737720,Finance,Compliance
2024-02,2024-02-15,2024,500300,Office & Admin,18977.84,JN202400073,TXREF-112107,Sales,Core Operations
2025-09,2025-09-02,2025,500400,Marketing Expense,30944.16,JN202500074,TXREF-652510,Operations,Growth
2024-02,2024-02-06,2024,500200,IT Services,31529.87,JN202400075,TXREF-311569,Operations,Core Operations
2025-11,2025-11-10,2025,500300,Office & Admin,16085.4,JN202500076,TXREF-567336,Underwriting,Growth
2024-05,2024-05-09,2024,500300,Office & Admin,20987.77,JN202400077,TXREF-138744,Sales,Core Operations
2024-01,2024-01-17,2024,500600,Claims Processing Cost,24615.24,JN202400078,TXREF-597822,Underwriting,Growth
2024-08,2024-08-22,2024,500100,Staff Cost,16264.3,JN202400079,TXREF-619046,Claims,Technology Enablement
2025-09,2025-09-08,2025,500300,Office & Admin,1997.88,JN202500080,TXREF-459351,Claims,Growth
2024-12,2024-12-13,2024,500600,Claims Processing Cost,23892.35,JN202400081,TXREF-464434,Claims,Growth
2024-03,2024-03-14,2024,500100,Staff Cost,26049.17,JN202400082,TXREF-271176,Finance,Compliance
2024-02,2024-02-28,2024,500600,Claims Processing Cost,21739.52,JN202400083,TXREF-630519,Sales,Technology Enablement
2025-10,2025-10-02,2025,500200,IT Services,9688.1,JN202500084,TXREF-581771,Claims,Compliance
2024-03,2024-03-09,2024,500300,Office & Admin,16235.75,JN202400085,TXREF-481829,HR,Core Operations
2025-09,2025-09-10,2025,500300,Office & Admin,12683.07,JN202500086,TXREF-328448,IT,Core Operations
2025-03,2025-03-03,2025,500100,Staff Cost,15302.6,JN202500087,TXREF-597699,Operations,Technology Enablement
2025-09,2025-09-17,2025,500600,Claims Processing Cost,29671.97,JN202500088,TXREF-913944,IT,Growth
2024-02,2024-02-05,2024,500300,Office & Admin,31766.22,JN202400089,TXREF-518917,Sales,Core Operations
2024-07,2024-07-21,2024,500100,Staff Cost,24024.76,JN202400090,TXREF-344118,Operations,Compliance
2024-10,2024-10-22,2024,500500,Professional Fees,22938.71,JN202400091,TXREF-850773,Sales,Growth
2025-06,2025-06-10,2025,500600,Claims Processing Cost,24089.66,JN202500092,TXREF-859332,HR,Growth
2024-01,2024-01-24,2024,500700,Training & Development,17889.82,JN202400093,TXREF-835107,Sales,Technology Enablement
2024-09,2024-09-27,2024,500700,Training & Development,17319.03,JN202400094,TXREF-819817,Underwriting,Core Operations
2024-02,2024-02-21,2024,500100,Staff Cost,11937.19,JN202400095,TXREF-478229,Finance,Growth
2024-07,2024-07-21,2024,500700,Training & Development,17497.19,JN202400096,TXREF-119755,HR,Core Operations
2024-08,2024-08-26,2024,500300,Office & Admin,38339.52,JN202400097,TXREF-173517,Finance,Technology Enablement
2024-11,2024-11-09,2024,500500,Professional Fees,25821.35,JN202400098,TXREF-948527,Finance,Technology Enablement
2024-05,2024-05-08,2024,500200,IT Services,14920.95,JN202400099,TXREF-875766,Claims,Growth
2025-08,2025-08-16,2025,500700,Training & Development,13752.66,JN202500100,TXREF-816907,HR,Core Operations
2025-01,2025-01-03,2025,500500,Professional Fees,10219.59,JN202500101,TXREF-728836,Claims,Growth
2024-06,2024-06-20,2024,500300,Office & Admin,21369.33,JN202400102,TXREF-695341,Claims,Compliance
2024-01,2024-01-09,2024,500400,Marketing Expense,21523.91,JN202400103,TXREF-804644,Finance,Technology Enablement
2024-12,2024-12-10,2024,500200,IT Services,5011.91,JN202400104,TXREF-843305,Claims,Technology Enablement
2025-08,2025-08-18,2025,500400,Marketing Expense,22377.02,JN202500105,TXREF-308928,HR,Core Operations
2025-02,2025-02-15,2025,500400,Marketing Expense,12874.75,JN202500106,TXREF-180178,Finance,Compliance
2025-05,2025-05-03,2025,500400,Marketing Expense,30840.49,JN202500107,TXREF-709717,IT,Growth
2024-03,2024-03-12,2024,500600,Claims Processing Cost,19411.6,JN202400108,TXREF-239046,Underwriting,Compliance
2025-02,2025-02-16,2025,500600,Claims Processing Cost,33459.57,JN202500109,TXREF-609755,Operations,Growth
2025-01,2025-01-22,2025,500200,IT Services,13876.86,JN202500110,TXREF-572656,Finance,Technology Enablement
2025-05,2025-05-12,2025,500600,Claims Processing Cost,15408.15,JN202500111,TXREF-494375,IT,Technology Enablement
2025-02,2025-02-11,2025,500700,Training & Development,20698.28,JN202500112,TXREF-887201,Operations,Core Operations
2025-07,2025-07-24,2025,500100,Staff Cost,27503.53,JN202500113,TXREF-403911,IT,Core Operations
2025-06,2025-06-28,2025,500100,Staff Cost,23092.94,JN202500114,TXREF-717796,HR,Technology Enablement
2024-06,2024-06-28,2024,500400,Marketing Expense,6898.28,JN202400115,TXREF-150612,Sales,Compliance
2025-02,2025-02-21,2025,500100,Staff Cost,19646.11,JN202500116,TXREF-256148,Sales,Compliance
2024-05,2024-05-07,2024,500400,Marketing Expense,18200.2,JN202400117,TXREF-910741,Underwriting,Compliance
2025-07,2025-07-18,2025,500100,Staff Cost,14138.38,JN202500118,TXREF-675907,Sales,Technology Enablement
2024-12,2024-12-15,2024,500100,Staff Cost,12167.05,JN202400119,TXREF-744784,Finance,Technology Enablement
2024-11,2024-11-02,2024,500700,Training & Development,33728.2,JN202400120,TXREF-676830,Operations,Technology Enablement
2024-03,2024-03-10,2024,500400,Marketing Expense,14486.52,JN202400121,TXREF-412236,HR,Compliance
2025-12,2025-12-13,2025,500600,Claims Processing Cost,10386.7,JN202500122,TXREF-787860,Claims,Compliance
2024-05,2024-05-04,2024,500400,Marketing Expense,23734.02,JN202400123,TXREF-275460,Underwriting,Technology Enablement
2024-02,2024-02-18,2024,500200,IT Services,19175.61,JN202400124,TXREF-330713,Underwriting,Technology Enablement
2025-06,2025-06-05,2025,500700,Training & Development,17317.68,JN202500125,TXREF-674394,HR,Technology Enablement
2024-04,2024-04-18,2024,500100,Staff Cost,25031.72,JN202400126,TXREF-195519,IT,Compliance
2025-04,2025-04-01,2025,500300,Office & Admin,22397.63,JN202500127,TXREF-886072,Operations,Growth
2025-07,2025-07-13,2025,500400,Marketing Expense,21259.71,JN202500128,TXREF-383367,Claims,Growth
2025-01,2025-01-05,2025,500400,Marketing Expense,26677.8,JN202500129,TXREF-820112,Operations,Compliance
2024-02,2024-02-13,2024,500300,Office & Admin,20552.73,JN202400130,TXREF-777161,IT,Technology Enablement
2025-07,2025-07-05,2025,500300,Office & Admin,12447.7,JN202500131,TXREF-133809,Sales,Core Operations
2025-12,2025-12-19,2025,500700,Training & Development,14739.46,JN202500132,TXREF-613618,Sales,Technology Enablement
2024-02,2024-02-15,2024,500400,Marketing Expense,13311.25,JN202400133,TXREF-360534,Sales,Technology Enablement
2024-04,2024-04-27,2024,500200,IT Services,19887.5,JN202400134,TXREF-856794,IT,Core Operations
2025-02,2025-02-01,2025,500500,Professional Fees,8298.14,JN202500135,TXREF-920299,Sales,Core Operations
2024-04,2024-04-05,2024,500500,Professional Fees,1508.17,JN202400136,TXREF-756904,Finance,Compliance
2025-09,2025-09-04,2025,500600,Claims Processing Cost,18793.39,JN202500137,TXREF-173769,HR,Core Operations
2025-09,2025-09-09,2025,500500,Professional Fees,5971.32,JN202500138,TXREF-334443,IT,Technology Enablement
2024-01,2024-01-09,2024,500500,Professional Fees,500.0,JN202400139,TXREF-431724,Operations,Technology Enablement
2024-08,2024-08-01,2024,500500,Professional Fees,21359.98,JN202400140,TXREF-531814,IT,Growth
2025-01,2025-01-22,2025,500100,Staff Cost,11600.52,JN202500141,TXREF-778605,IT,Technology Enablement
2025-02,2025-02-12,2025,500300,Office & Admin,22465.13,JN202500142,TXREF-337802,IT,Technology Enablement
2025-01,2025-01-12,2025,500600,Claims Processing Cost,13222.32,JN202500143,TXREF-815723,Operations,Technology Enablement
2025-04,2025-04-24,2025,500100,Staff Cost,7902.34,JN202500144,TXREF-986203,Sales,Compliance
2024-04,2024-04-25,2024,500400,Marketing Expense,6808.34,JN202400145,TXREF-959837,IT,Compliance
2024-04,2024-04-25,2024,500400,Marketing Expense,13365.65,JN202400146,TXREF-409259,IT,Compliance
2024-10,2024-10-08,2024,500400,Marketing Expense,15539.55,JN202400147,TXREF-608614,Underwriting,Growth
2025-11,2025-11-13,2025,500100,Staff Cost,10588.86,JN202500148,TXREF-156998,Underwriting,Growth
2024-01,2024-01-02,2024,500500,Professional Fees,15470.03,JN202400149,TXREF-844340,IT,Technology Enablement
2024-03,2024-03-24,2024,500400,Marketing Expense,4175.08,JN202400150,TXREF-218704,HR,Compliance
2024-03,2024-03-21,2024,500300,Office & Admin,18130.4,JN202400151,TXREF-650290,IT,Growth
2025-01,2025-01-27,2025,500300,Office & Admin,1857.16,JN202500152,TXREF-492045,Claims,Technology Enablement
2025-08,2025-08-03,2025,500200,IT Services,16255.29,JN202500153,TXREF-393398,Finance,Core Operations
2024-06,2024-06-13,2024,500400,Marketing Expense,24275.65,JN202400154,TXREF-473952,Finance,Growth
2025-07,2025-07-07,2025,500100,Staff Cost,27827.45,JN202500155,TXREF-490819,Finance,Technology Enablement
2025-04,2025-04-01,2025,500300,Office & Admin,33429.42,JN202500156,TXREF-762345,Operations,Technology Enablement
2025-04,2025-04-02,2025,500700,Training & Development,3993.41,JN202500157,TXREF-493811,Claims,Technology Enablement
2024-08,2024-08-09,2024,500100,Staff Cost,24828.53,JN202400158,TXREF-304410,Sales,Core Operations
2024-10,2024-10-11,2024,500300,Office & Admin,28856.54,JN202400159,TXREF-746948,Operations,Compliance
2024-05,2024-05-09,2024,500600,Claims Processing Cost,26825.01,JN202400160,TXREF-411852,Claims,Compliance
2024-12,2024-12-01,2024,500700,Training & Development,9636.09,JN202400161,TXREF-966142,Underwriting,Core Operations
2024-02,2024-02-25,2024,500400,Marketing Expense,21706.17,JN202400162,TXREF-505290,Claims,Technology Enablement
2025-07,2025-07-16,2025,500700,Training & Development,34740.5,JN202500163,TXREF-291825,HR,Growth
2024-12,2024-12-20,2024,500300,Office & Admin,4524.54,JN202400164,TXREF-347613,Sales,Growth
2025-06,2025-06-17,2025,500400,Marketing Expense,22287.04,JN202500165,TXREF-306896,Operations,Core Operations
2025-03,2025-03-21,2025,500200,IT Services,28010.61,JN202500166,TXREF-135508,HR,Core Operations
2025-09,2025-09-14,2025,500500,Professional Fees,11730.68,JN202500167,TXREF-210332,Operations,Growth
2024-05,2024-05-04,2024,500500,Professional Fees,23246.73,JN202400168,TXREF-541513,Finance,Growth
2025-12,2025-12-05,2025,500400,Marketing Expense,8361.97,JN202500169,TXREF-537089,IT,Growth
2025-10,2025-10-25,2025,500600,Claims Processing Cost,10690.12,JN202500170,TXREF-981717,IT,Core Operations
2025-05,2025-05-12,2025,500300,Office & Admin,10646.28,JN202500171,TXREF-366397,Underwriting,Compliance
2025-04,2025-04-08,2025,500400,Marketing Expense,19730.77,JN202500172,TXREF-346943,IT,Growth
2024-05,2024-05-03,2024,500500,Professional Fees,17181.17,JN202400173,TXREF-515309,IT,Compliance
2025-04,2025-04-21,2025,500500,Professional Fees,26587.04,JN202500174,TXREF-947713,Underwriting,Growth
2024-11,2024-11-01,2024,500400,Marketing Expense,9537.49,JN202400175,TXREF-597824,Finance,Core Operations
2024-08,2024-08-08,2024,500300,Office & Admin,16818.52,JN202400176,TXREF-225007,Finance,Compliance
2024-04,2024-04-03,2024,500500,Professional Fees,26649.69,JN202400177,TXREF-490318,Sales,Growth
2024-08,2024-08-04,2024,500500,Professional Fees,23046.99,JN202400178,TXREF-768422,Operations,Core Operations
2025-04,2025-04-05,2025,500100,Staff Cost,6078.23,JN202500179,TXREF-146311,Operations,Compliance
2024-05,2024-05-27,2024,500100,Staff Cost,23986.83,JN202400180,TXREF-111932,Underwriting,Growth
2025-07,2025-07-20,2025,500600,Claims Processing Cost,13694.24,JN202500181,TXREF-427360,Operations,Growth
2024-04,2024-04-18,2024,500100,Staff Cost,21468.48,JN202400182,TXREF-606993,Sales,Technology Enablement
2024-07,2024-07-22,2024,500100,Staff Cost,20706.12,JN202400183,TXREF-676861,Sales,Technology Enablement
2024-11,2024-11-13,2024,500500,Professional Fees,28973.87,JN202400184,TXREF-829185,Finance,Growth
2025-07,2025-07-14,2025,500300,Office & Admin,19049.04,JN202500185,TXREF-153855,Claims,Compliance
2025-12,2025-12-14,2025,500500,Professional Fees,1315.75,JN202500186,TXREF-119097,Operations,Technology Enablement
2025-11,2025-11-07,2025,500200,IT Services,5671.26,JN202500187,TXREF-106162,HR,Technology Enablement
2025-03,2025-03-13,2025,500400,Marketing Expense,24580.39,JN202500188,TXREF-705862,Finance,Core Operations
2025-08,2025-08-01,2025,500700,Training & Development,15675.15,JN202500189,TXREF-154206,IT,Growth
2024-11,2024-11-19,2024,500700,Training & Development,28241.81,JN202400190,TXREF-752418,HR,Core Operations
2025-12,2025-12-12,2025,500500,Professional Fees,20460.95,JN202500191,TXREF-397056,IT,Growth
2024-09,2024-09-13,2024,500200,IT Services,11258.41,JN202400192,TXREF-614336,Finance,Core Operations
2024-05,2024-05-16,2024,500200,IT Services,27741.66,JN202400193,TXREF-429804,Sales,Core Operations
2024-10,2024-10-23,2024,500600,Claims Processing Cost,10733.42,JN202400194,TXREF-750476,HR,Core Operations
2024-11,2024-11-20,2024,500700,Training & Development,500.0,JN202400195,TXREF-524132,Sales,Growth
2024-08,2024-08-02,2024,500200,IT Services,36574.16,JN202400196,TXREF-519163,Underwriting,Growth
2024-07,2024-07-08,2024,500300,Office & Admin,803.26,JN202400197,TXREF-860094,Finance,Growth
2024-01,2024-01-22,2024,500500,Professional Fees,23727.72,JN202400198,TXREF-978920,Sales,Core Operations
2025-02,2025-02-18,2025,500400,Marketing Expense,26449.67,JN202500199,TXREF-990251,Underwriting,Technology Enablement
2025-11,2025-11-14,2025,500400,Marketing Expense,19323.59,JN202500200,TXREF-508118,Operations,Growth
2025-08,2025-08-01,2025,500500,Professional Fees,2849.43,JN202500201,TXREF-103678,HR,Growth
2025-08,2025-08-27,2025,500200,IT Services,27135.13,JN202500202,TXREF-288291,HR,Technology Enablement
2025-07,2025-07-12,2025,500100,Staff Cost,5026.11,JN202500203,TXREF-551515,Finance,Growth
2025-02,2025-02-02,2025,500700,Training & Development,5907.34,JN202500204,TXREF-767352,HR,Core Operations
2024-02,2024-02-02,2024,500600,Claims Processing Cost,14744.99,JN202400205,TXREF-888590,Operations,Core Operations
2025-11,2025-11-28,2025,500700,Training & Development,25096.54,JN202500206,TXREF-169605,IT,Core Operations
2024-04,2024-04-26,2024,500200,IT Services,20701.03,JN202400207,TXREF-933592,HR,Compliance
2024-11,2024-11-03,2024,500700,Training & Development,25296.91,JN202400208,TXREF-973501,Claims,Growth
2025-10,2025-10-11,2025,500700,Training & Development,14007.21,JN202500209,TXREF-743334,Operations,Growth
2025-08,2025-08-07,2025,500200,IT Services,16450.35,JN202500210,TXREF-720639,Operations,Technology Enablement
2025-10,2025-10-12,2025,500500,Professional Fees,7765.77,JN202500211,TXREF-138622,IT,Compliance
2024-03,2024-03-22,2024,500400,Marketing Expense,15148.21,JN202400212,TXREF-443748,IT,Compliance
2025-03,2025-03-04,2025,500700,Training & Development,23338.15,JN202500213,TXREF-905585,Sales,Compliance
2024-11,2024-11-18,2024,500700,Training & Development,15301.55,JN202400214,TXREF-646782,Operations,Technology Enablement
2024-05,2024-05-24,2024,500500,Professional Fees,22279.14,JN202400215,TXREF-936418,Claims,Technology Enablement
2025-05,2025-05-12,2025,500400,Marketing Expense,12840.53,JN202500216,TXREF-446899,Operations,Growth
2024-08,2024-08-10,2024,500200,IT Services,12668.48,JN202400217,TXREF-959648,IT,Core Operations
2025-05,2025-05-24,2025,500600,Claims Processing Cost,18352.52,JN202500218,TXREF-101877,Sales,Compliance
2024-04,2024-04-14,2024,500200,IT Services,16246.07,JN202400219,TXREF-637581,Operations,Technology Enablement
2025-01,2025-01-20,2025,500200,IT Services,23331.47,JN202500220,TXREF-784833,HR,Growth
2024-01,2024-01-10,2024,500100,Staff Cost,19604.61,JN202400221,TXREF-211529,Finance,Compliance
2025-09,2025-09-19,2025,500200,IT Services,33663.12,JN202500222,TXREF-240222,HR,Compliance
2024-06,2024-06-06,2024,500500,Professional Fees,16024.55,JN202400223,TXREF-241294,Sales,Technology Enablement
2024-04,2024-04-04,2024,500600,Claims Processing Cost,15954.73,JN202400224,TXREF-166761,IT,Technology Enablement
2024-11,2024-11-26,2024,500700,Training & Development,8638.82,JN202400225,TXREF-377075,Operations,Technology Enablement
2024-01,2024-01-20,2024,500600,Claims Processing Cost,18205.0,JN202400226,TXREF-776964,Sales,Compliance
2025-10,2025-10-08,2025,500500,Professional Fees,24145.46,JN202500227,TXREF-273119,Claims,Technology Enablement
2024-01,2024-01-13,2024,500100,Staff Cost,11337.34,JN202400228,TXREF-294676,Underwriting,Core Operations
2024-03,2024-03-01,2024,500100,Staff Cost,17552.95,JN202400229,TXREF-742399,Sales,Core Operations
2024-03,2024-03-27,2024,500400,Marketing Expense,24467.01,JN202400230,TXREF-742969,IT,Technology Enablement
2024-09,2024-09-21,2024,500300,Office & Admin,16857.82,JN202400231,TXREF-150846,Finance,Compliance
2025-12,2025-12-28,2025,500500,Professional Fees,13327.76,JN202500232,TXREF-557858,Finance,Technology Enablement
2025-02,2025-02-06,2025,500600,Claims Processing Cost,26757.84,JN202500233,TXREF-336924,Claims,Technology Enablement
2024-05,2024-05-04,2024,500200,IT Services,18873.18,JN202400234,TXREF-451814,Claims,Core Operations
2025-12,2025-12-22,2025,500100,Staff Cost,21569.08,JN202500235,TXREF-926749,Operations,Technology Enablement
2025-05,2025-05-17,2025,500600,Claims Processing Cost,28542.54,JN202500236,TXREF-115967,IT,Core Operations
2024-05,2024-05-06,2024,500200,IT Services,28307.84,JN202400237,TXREF-882396,Sales,Growth
2025-04,2025-04-13,2025,500400,Marketing Expense,14875.16,JN202500238,TXREF-993311,Operations,Growth
2025-08,2025-08-28,2025,500700,Training & Development,13271.13,JN202500239,TXREF-127804,Underwriting,Core Operations
2025-12,2025-12-26,2025,500200,IT Services,20558.78,JN202500240,TXREF-322262,Underwriting,Compliance
2025-10,2025-10-05,2025,500500,Professional Fees,16804.91,JN202500241,TXREF-134512,Finance,Growth
2024-02,2024-02-12,2024,500100,Staff Cost,901.25,JN202400242,TXREF-248731,Underwriting,Growth
2024-01,2024-01-23,2024,500100,Staff Cost,29478.26,JN202400243,TXREF-171122,IT,Core Operations
2024-02,2024-02-07,2024,500700,Training & Development,18174.25,JN202400244,TXREF-957275,Underwriting,Compliance
2024-12,2024-12-07,2024,500400,Marketing Expense,24627.4,JN202400245,TXREF-313029,Finance,Growth
2024-01,2024-01-27,2024,500100,Staff Cost,7443.75,JN202400246,TXREF-887927,Sales,Core Operations
2025-08,2025-08-26,2025,500100,Staff Cost,29593.83,JN202500247,TXREF-894153,IT,Core Operations
2024-05,2024-05-09,2024,500300,Office & Admin,12705.63,JN202400248,TXREF-121934,Operations,Technology Enablement
2025-05,2025-05-11,2025,500300,Office & Admin,17031.0,JN202500249,TXREF-906603,Finance,Compliance
2025-05,2025-05-26,2025,500500,Professional Fees,5387.18,JN202500250,TXREF-532978,Claims,Core Operations
2024-07,2024-07-12,2024,500500,Professional Fees,16497.45,JN202400251,TXREF-591720,Sales,Core Operations
2024-09,2024-09-19,2024,500500,Professional Fees,15931.76,JN202400252,TXREF-959634,IT,Core Operations
2025-03,2025-03-10,2025,500400,Marketing Expense,16331.76,JN202500253,TXREF-899204,Finance,Growth
2024-01,2024-01-16,2024,500300,Office & Admin,21946.54,JN202400254,TXREF-828978,HR,Core Operations
2024-08,2024-08-19,2024,500500,Professional Fees,18543.11,JN202400255,TXREF-266613,Operations,Compliance
2025-04,2025-04-06,2025,500600,Claims Processing Cost,26782.04,JN202500256,TXREF-215262,IT,Technology Enablement
2024-08,2024-08-21,2024,500700,Training & Development,13786.58,JN202400257,TXREF-442511,Claims,Core Operations
